,region,status_group_num
0,Iringa,0
1,Mara,0
2,Manyara,0
3,Mtwara,1
4,Kagera,0
5,Tanga,0
6,Shinyanga,1
7,Shinyanga,1
8,Tabora,1
9,Kagera,0
10,Pwani,0
11,Ruvuma,0
12,Shinyanga,0
13,Kilimanjaro,0
14,Shinyanga,0
15,Rukwa,0
16,Iringa,1
17,Iringa,1
18,Mwanza,1
19,Iringa,0
20,Iringa,0
22,Iringa,1
23,Kilimanjaro,0
24,Kigoma,0
25,Kilimanjaro,1
26,Lindi,0
27,Kagera,0
28,Kilimanjaro,1
29,Kilimanjaro,0
30,Dodoma,0
31,Pwani,0
32,Kilimanjaro,1
33,Iringa,0
34,Pwani,0
35,Arusha,1
36,Mbeya,1
37,Dodoma,0
38,Iringa,0
39,Kigoma,1
40,Kilimanjaro,0
41,Iringa,0
42,Iringa,0
43,Singida,1
44,Arusha,1
45,Shinyanga,1
46,Mtwara,1
47,Mbeya,0
48,Iringa,0
49,Iringa,0
50,Kilimanjaro,0
51,Rukwa,1
52,Mbeya,0
54,Kagera,0
55,Kilimanjaro,1
56,Kilimanjaro,0
57,Arusha,1
58,Manyara,0
59,Kagera,1
60,Tanga,0
61,Tanga,1
62,Kigoma,1
63,Arusha,1
64,Singida,0
65,Singida,1
66,Iringa,0
67,Kagera,1
68,Iringa,1
69,Kigoma,1
70,Morogoro,1
71,Mbeya,1
72,Mbeya,1
73,Mara,1
74,Kigoma,0
75,Kagera,1
76,Iringa,0
77,Arusha,0
78,Tanga,1
79,Shinyanga,0
80,Iringa,0
81,Morogoro,1
82,Arusha,0
83,Shinyanga,0
84,Mara,1
85,Mwanza,1
86,Iringa,0
87,Kagera,1
88,Pwani,1
89,Dodoma,1
90,Kigoma,1
91,Lindi,1
92,Pwani,1
93,Manyara,0
94,Kagera,1
95,Kigoma,0
96,Kigoma,1
97,Mwanza,0
98,Ruvuma,1
99,Shinyanga,1
100,Tanga,1
101,Singida,0
102,Kigoma,0
103,Ruvuma,1
104,Kilimanjaro,0
105,Kilimanjaro,0
106,Shinyanga,0
107,Kagera,1
108,Iringa,1
109,Mbeya,0
110,Arusha,1
111,Arusha,0
112,Kagera,0
113,Mbeya,0
114,Dodoma,1
115,Kagera,1
116,Morogoro,0
117,Mara,1
118,Mara,0
119,Manyara,1
120,Iringa,1
121,Kagera,0
122,Kagera,1
123,Arusha,0
124,Mbeya,0
125,Tabora,1
126,Singida,0
127,Iringa,0
128,Shinyanga,1
129,Mwanza,1
130,Kagera,0
131,Arusha,0
132,Mbeya,0
133,Shinyanga,0
134,Tanga,0
135,Iringa,0
136,Mbeya,1
137,Lindi,1
138,Kagera,0
139,Kagera,0
140,Mbeya,1
141,Morogoro,0
142,Tabora,1
143,Morogoro,0
144,Morogoro,1
145,Dar es Salaam,0
146,Kagera,1
147,Iringa,0
148,Lindi,1
149,Mbeya,0
150,Mara,0
151,Mbeya,0
152,Dar es Salaam,1
153,Mara,1
154,Kigoma,0
155,Ruvuma,1
156,Mbeya,0
157,Shinyanga,1
158,Shinyanga,0
159,Lindi,0
160,Iringa,0
161,Rukwa,1
162,Iringa,0
163,Kigoma,0
164,Mwanza,0
165,Singida,0
166,Tabora,0
167,Kigoma,1
169,Mtwara,0
170,Ruvuma,0
171,Rukwa,1
172,Pwani,0
173,Morogoro,0
174,Morogoro,1
175,Rukwa,0
176,Manyara,0
178,Mbeya,0
179,Tanga,1
180,Iringa,0
181,Pwani,0
182,Arusha,0
183,Rukwa,1
184,Pwani,0
185,Iringa,0
186,Mbeya,1
187,Kagera,0
188,Mbeya,1
189,Mbeya,0
190,Singida,1
191,Iringa,0
192,Iringa,0
193,Pwani,1
194,Iringa,0
195,Mtwara,0
196,Kilimanjaro,0
197,Kilimanjaro,1
198,Mara,1
199,Shinyanga,1
200,Kagera,0
201,Singida,1
202,Iringa,0
203,Iringa,0
204,Kagera,1
205,Kagera,1
206,Mbeya,0
207,Arusha,0
208,Pwani,1
209,Arusha,0
210,Iringa,1
211,Mbeya,1
212,Rukwa,1
213,Mbeya,1
214,Kilimanjaro,1
215,Mbeya,1
216,Kilimanjaro,1
217,Shinyanga,0
218,Arusha,0
219,Mbeya,1
220,Singida,0
221,Kilimanjaro,1
222,Arusha,1
223,Kigoma,0
224,Pwani,1
225,Mara,0
226,Morogoro,0
227,Singida,0
228,Shinyanga,0
229,Mwanza,0
230,Tanga,0
231,Mwanza,1
232,Singida,1
233,Mtwara,1
234,Manyara,1
235,Mbeya,1
236,Tabora,1
237,Morogoro,1
238,Mbeya,1
239,Tanga,1
240,Morogoro,1
241,Kagera,1
242,Dodoma,1
243,Tanga,1
244,Iringa,0
245,Kagera,1
246,Iringa,0
247,Tanga,0
248,Kilimanjaro,0
249,Pwani,1
250,Iringa,0
251,Mtwara,0
252,Kilimanjaro,1
254,Iringa,0
255,Shinyanga,1
257,Mtwara,1
258,Iringa,0
259,Rukwa,1
260,Kagera,1
261,Singida,1
262,Dodoma,1
263,Shinyanga,1
264,Dodoma,0
265,Arusha,1
266,Kigoma,1
267,Kilimanjaro,0
268,Mbeya,0
269,Mtwara,0
270,Mbeya,1
271,Tabora,1
272,Mbeya,0
273,Shinyanga,0
274,Kigoma,0
275,Ruvuma,1
276,Morogoro,0
277,Tanga,1
278,Kilimanjaro,0
279,Rukwa,1
280,Kigoma,0
281,Kigoma,0
282,Shinyanga,0
283,Arusha,1
284,Kigoma,1
286,Kilimanjaro,1
287,Shinyanga,0
288,Rukwa,0
289,Kigoma,1
290,Morogoro,1
291,Singida,1
292,Arusha,0
293,Arusha,0
294,Kilimanjaro,0
295,Dodoma,0
296,Mtwara,1
297,Mwanza,1
298,Mbeya,1
299,Mtwara,1
300,Kagera,0
302,Shinyanga,0
303,Mbeya,1
304,Tabora,0
305,Kagera,1
307,Mbeya,1
308,Manyara,1
309,Pwani,1
310,Ruvuma,1
311,Mbeya,1
312,Mbeya,1
313,Kagera,1
314,Pwani,1
315,Kigoma,1
316,Rukwa,0
317,Mtwara,1
318,Tanga,1
319,Mbeya,1
320,Mtwara,1
322,Dodoma,0
324,Lindi,0
325,Rukwa,1
327,Kigoma,0
328,Ruvuma,0
329,Dodoma,1
330,Lindi,1
331,Iringa,0
332,Mbeya,0
333,Shinyanga,0
334,Shinyanga,0
335,Ruvuma,0
336,Dodoma,1
337,Iringa,1
338,Morogoro,0
339,Rukwa,0
340,Tabora,0
341,Morogoro,0
342,Dodoma,1
343,Arusha,0
344,Manyara,0
345,Kilimanjaro,1
347,Arusha,1
348,Ruvuma,0
349,Morogoro,0
350,Mtwara,0
351,Manyara,0
352,Mbeya,1
353,Kigoma,0
354,Singida,1
355,Mbeya,1
356,Arusha,1
357,Kagera,1
358,Mbeya,1
359,Arusha,0
360,Dodoma,1
361,Manyara,1
362,Iringa,0
363,Tabora,0
364,Kigoma,1
365,Morogoro,0
366,Arusha,0
367,Mara,0
368,Tabora,0
369,Morogoro,0
371,Arusha,0
372,Morogoro,0
373,Ruvuma,0
374,Iringa,1
375,Pwani,1
376,Ruvuma,0
377,Dodoma,1
378,Ruvuma,1
379,Dodoma,0
380,Kilimanjaro,0
381,Kilimanjaro,1
382,Arusha,0
383,Shinyanga,0
384,Morogoro,0
385,Ruvuma,0
386,Mbeya,1
387,Tabora,1
388,Arusha,0
389,Iringa,0
390,Mwanza,0
391,Rukwa,1
392,Iringa,0
393,Dar es Salaam,1
394,Kilimanjaro,1
395,Kilimanjaro,0
396,Iringa,0
397,Mtwara,1
398,Ruvuma,1
399,Morogoro,0
400,Mtwara,1
401,Arusha,0
402,Mwanza,0
403,Mbeya,1
404,Mwanza,1
405,Shinyanga,0
406,Shinyanga,0
407,Iringa,0
408,Morogoro,1
409,Ruvuma,0
410,Rukwa,1
411,Iringa,1
412,Morogoro,1
413,Kagera,0
414,Kilimanjaro,1
415,Iringa,1
416,Mwanza,0
417,Dar es Salaam,1
418,Ruvuma,0
419,Morogoro,0
420,Kilimanjaro,0
421,Kilimanjaro,0
422,Pwani,1
423,Mbeya,0
424,Pwani,1
425,Kilimanjaro,1
426,Arusha,1
427,Kagera,1
428,Dar es Salaam,1
429,Mbeya,0
430,Kilimanjaro,0
431,Shinyanga,1
432,Manyara,0
434,Mbeya,1
435,Kilimanjaro,1
436,Arusha,0
437,Shinyanga,1
438,Pwani,1
439,Kagera,0
440,Lindi,1
441,Lindi,1
442,Morogoro,1
443,Iringa,0
444,Morogoro,0
445,Lindi,1
446,Mbeya,0
447,Mwanza,0
448,Kigoma,0
449,Mbeya,0
450,Mtwara,1
451,Mbeya,0
452,Iringa,0
453,Arusha,1
454,Shinyanga,0
455,Mtwara,0
456,Morogoro,1
457,Iringa,0
458,Lindi,0
459,Shinyanga,0
460,Kilimanjaro,0
461,Pwani,1
462,Kagera,0
